id_despacho,nombre_lugar,nombre_producto,cantidad_despachada
DES-0001,TIENDA01,POLO,1
DES-0001,TIENDA01,FALDA,1
DES-0001,TIENDA01,PRODUCTO01,2
DES-0001,TIENDA01,PRODUCTO02,2
DES-0001,TIENDA01,PRODUCTO03,2
DES-0002,TIENDA02,POLO,1
DES-0002,TIENDA02,FALDA,1
DES-0002,TIENDA02,PRODUCTO01,2
DES-0002,TIENDA02,PRODUCTO02,4
DES-0002,TIENDA02,PRODUCTO03,4
DES-0003,Tienda1,Producto1,1
DES-0003,Tienda1,Producto2,1
DES-0003,Tienda1,Producto3,10
DES-0003,Tienda1,Producto4,5
DES-0003,Tienda1,Producto5,10
DES-0003,Tienda2,Producto3,10
DES-0003,Tienda2,Producto4,5
DES-0003,Tienda2,Producto5,10
DES-0003,Tienda3,Producto3,10
DES-0003,Tienda3,Producto4,5
DES-0003,Tienda3,Producto5,10
DES-0003,Tienda4,Producto3,10
DES-0003,Tienda4,Producto4,5
DES-0003,Tienda4,Producto5,10
DES-0003,Tienda5,Producto4,5
DES-0003,Tienda5,Producto5,10
