id_devolucion,nombre_lugar,nombre_producto,cantidad_despachada,cantidad_devuelta,cantidad_recibida
DEV-0001,TIENDA01,POLO,1,1,
DEV-0001,TIENDA01,FALDA,1,1,
DEV-0001,TIENDA01,PRODUCTO01,2,1,
DEV-0001,TIENDA01,PRODUCTO02,2,1,
DEV-0001,TIENDA01,PRODUCTO03,2,1,
DEV-0002,Tienda1,Producto1,1,1,1
DEV-0002,Tienda1,Producto2,1,1,1
DEV-0002,Tienda1,Producto3,10,10,10
DEV-0002,Tienda1,Producto4,5,5,5
DEV-0002,Tienda1,Producto5,10,10,10
DEV-0002,Tienda2,Producto3,10,10,10
DEV-0002,Tienda2,Producto4,5,5,5
DEV-0002,Tienda2,Producto5,10,10,10
DEV-0002,Tienda3,Producto3,10,10,5
DEV-0002,Tienda3,Producto4,5,5,5
DEV-0002,Tienda3,Producto5,10,10,10
DEV-0002,Tienda4,Producto3,10,10,10
DEV-0002,Tienda4,Producto4,5,5,5
DEV-0002,Tienda4,Producto5,10,10,10
DEV-0002,Tienda5,Producto4,5,5,5
DEV-0002,Tienda5,Producto5,10,10,10
