id_solped,nombre_lugar,nombre_producto,cantidad_solicitada
SOL-0001,TIENDA01,POLO,1
SOL-0001,TIENDA01,FALDA,1
SOL-0001,TIENDA01,PRODUCTO01,2
SOL-0001,TIENDA01,PRODUCTO02,4
SOL-0001,TIENDA01,PRODUCTO03,4
SOL-0002,TIENDA01,POLO,1
SOL-0002,TIENDA01,FALDA,1
SOL-0002,TIENDA01,PRODUCTO01,2
SOL-0002,TIENDA01,PRODUCTO02,2
SOL-0002,TIENDA01,PRODUCTO03,2
SOL-0003,TIENDA02,POLO,1
SOL-0003,TIENDA02,FALDA,1
SOL-0003,TIENDA02,PRODUCTO01,2
SOL-0003,TIENDA02,PRODUCTO02,4
SOL-0003,TIENDA02,PRODUCTO03,4
SOL-0004,Tienda1,Producto1,1
SOL-0004,Tienda1,Producto2,1
SOL-0004,Tienda1,Producto3,10
SOL-0004,Tienda1,Producto4,5
SOL-0004,Tienda1,Producto5,10
SOL-0004,Tienda2,Producto3,10
SOL-0004,Tienda2,Producto4,5
SOL-0004,Tienda2,Producto5,10
SOL-0004,Tienda3,Producto3,10
SOL-0004,Tienda3,Producto4,5
SOL-0004,Tienda3,Producto5,10
SOL-0004,Tienda4,Producto3,10
SOL-0004,Tienda4,Producto4,5
SOL-0004,Tienda4,Producto5,10
SOL-0004,Tienda5,Producto4,5
SOL-0004,Tienda5,Producto5,10
