codigo_campana,nombre_producto,recibido,despachado,devuelto,stock,ultima_actualizacion,url_foto
QP-QUA-0001,POLO,5,2,1,4,31/07/2026 23:07:53,https://drive.google.com/thumbnail?id=1ABH9sW9OG6YzV4Thlq4fa35g9cfQ7y_L&sz=w200
QP-QUA-0001,FALDA,5,2,1,4,31/07/2026 23:07:53,https://drive.google.com/thumbnail?id=1Cxz7n_dbYtBBbYEII8yq2_CB700YNHwc&sz=w200
QP-QUA-0001,PRODUCTO01,10,4,1,7,31/07/2026 23:07:54,https://drive.google.com/thumbnail?id=1IOg8N-UOCBlUJMyHHnKVU3D4Sz3OlT8O&sz=w200
QP-QUA-0001,PRODUCTO02,20,6,1,15,31/07/2026 23:07:54,https://drive.google.com/thumbnail?id=1PfGbKVBdLZd4L_GLwMcCY7kV-TXXRlcL&sz=w200
QP-QUA-0001,PRODUCTO03,20,6,1,15,31/07/2026 23:07:54,https://drive.google.com/thumbnail?id=1boSuHkcwB6rXzZPOXq7_mA7lXPIcMWP9&sz=w200
QP-QUA-0002,Producto1,1,1,1,1,31/07/2026 23:07:54,https://drive.google.com/thumbnail?id=1lLZ_7eVAT5ar7zbImk7AsxDY8G3GAHYe&sz=w200
QP-QUA-0002,Producto2,1,1,1,1,31/07/2026 23:07:54,https://drive.google.com/thumbnail?id=1Uy9cbYtp9Apq5bU2W57SV9jdIeQLbNL9&sz=w200
QP-QUA-0002,Producto3,40,40,35,35,31/07/2026 23:07:55,https://drive.google.com/thumbnail?id=1OC_j6SgCtHEo_vPeGkLdcIKtwjMvUE8X&sz=w200
QP-QUA-0002,Producto4,25,25,25,25,31/07/2026 23:07:55,https://drive.google.com/thumbnail?id=1zcZOA3TUERAKRMmTyJLeQGqZe4vATEb5&sz=w200
QP-QUA-0002,Producto5,10000,50,50,10000,31/07/2026 23:07:55,https://drive.google.com/thumbnail?id=1uz2KdOwpX1zRrcpM6xQoUBTAolKJ9bYT&sz=w200
QP-QUA-0002,Producto6,160,0,0,160,31/07/2026 23:07:56,https://drive.google.com/thumbnail?id=1zdeQ88fJ1vaJobJVbT0ZClRXVt9dxfKF&sz=w200
